"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"23","KE","National","2005-2006","Adult TB pts.","U","B","15Y24Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","1,369","-1","36.75","N/A","B","UNK","3,725"
"21","KE","National","2005-2006","Adult TB pts.","U","F","65Y+","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","21","-1","29.58","N/A","B","UNK","71"
"19","KE","National","2005-2006","Adult TB pts.","U","F","55Y64Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","79","-1","37.62","N/A","B","UNK","210"
"17","KE","National","2005-2006","Adult TB pts.","U","F","45Y54Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","285","-1","50.26","N/A","B","UNK","567"
"16","KE","National","2005-2006","Adult TB pts.","U","M","45Y54Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","461","-1","46.99","N/A","B","UNK","981"
"26","KE","National","2005-2006","Adult TB pts.","U","B","45Y54Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","746","-1","48.19","N/A","B","UNK","1,548"
"15","KE","National","2005-2006","Adult TB pts.","U","F","35Y44Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","788","-1","61.04","N/A","B","UNK","1,291"
"14","KE","National","2005-2006","Adult TB pts.","U","M","35Y44Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","1,119","-1","54.27","N/A","B","UNK","2,062"
"13","KE","National","2005-2006","Adult TB pts.","U","F","25Y34Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","1,667","-1","60.03","N/A","B","UNK","2,777"
"18","KE","National","2005-2006","Adult TB pts.","U","M","55Y64Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","125","-1","31.25","N/A","B","UNK","400"
"10","KE","National","2005-2006","Adult TB pts.","U","M","15Y24Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","457","-1","27.50","N/A","B","UNK","1,662"
"12","KE","National","2005-2006","Adult TB pts.","U","M","25Y34Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","1,426","-1","44.47","N/A","B","UNK","3,207"
"9","KE","National","2005-2006","Pediatric TB pts.","U","F","00Y14Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","73","-1","36.50","N/A","B","UNK","200"
"20","KE","National","2005-2006","Adult TB pts.","U","M","65Y+","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","34","-1","18.99","N/A","B","UNK","179"
"22","KE","National","2005-2006","Pediatric TB pts.","U","B","00Y14Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","116","-1","38.16","N/A","B","UNK","304"
"11","KE","National","2005-2006","Adult TB pts.","U","F","15Y24Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","912","-1","44.21","N/A","B","UNK","2,063"
"4","MX","National","1999-2000","Adults","N","B","20Y29Y","V0207","National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","14","-1","0.23","N/A","BW","ELISA*2, WB","5,960"
"16","MX","National","1999-2000","Adults","N","M","20Y29Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.66","N/A","BW","ELISA*2, WB","N/A"
"12","MX","National","1999-2000","Adults","N","B","30Y39Y","V0207","Only the prevalence rate given which was approximated from a graph.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.35","N/A","BW","ELISA*2, WB","N/A"
"24","MX","National","1999-2000","Adults","N","F","50Y59Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.02","N/A","BW","ELISA*2, WB","N/A"
"20","MX","National","1999-2000","Adults","N","M","60Y69Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.00","N/A","BW","ELISA*2, WB","N/A"
"13","MX","National","1999-2000","Adults","N","B","40Y49Y","V0207","Only the prevalence rate given which was approximated from a graph.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.22","N/A","BW","ELISA*2, WB","N/A"
"15","MX","National","1999-2000","Adults","N","B","60Y69Y","V0207","Only the prevalence rate given which was approximated from a graph.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.00","N/A","BW","ELISA*2, WB","N/A"
"14","MX","National","1999-2000","Adults","N","B","50Y59Y","V0207","Only the prevalence rate given which was approximated from a graph.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.18","N/A","BW","ELISA*2, WB","N/A"
"19","MX","National","1999-2000","Adults","N","M","50Y59Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.31","N/A","BW","ELISA*2, WB","N/A"
"18","MX","National","1999-2000","Adults","N","M","40Y49Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.44","N/A","BW","ELISA*2, WB","N/A"
"21","MX","National","1999-2000","Adults","N","F","20Y29Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.02","N/A","BW","ELISA*2, WB","N/A"
"23","MX","National","1999-2000","Adults","N","F","40Y49Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.01","N/A","BW","ELISA*2, WB","N/A"
"17","MX","National","1999-2000","Adults","N","M","30Y39Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","56.00","N/A","BW","ELISA*2, WB","N/A"
"22","MX","National","1999-2000","Adults","N","F","30Y39Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.14","N/A","BW","ELISA*2, WB","N/A"
"5","MX","National","1999-2000","Adults","N","B","30Y49Y","V0207","National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","11","-1","0.12","N/A","BW","ELISA*2, WB","9,261"
"6","MX","National","1999-2000","Adults","N","B","50Y69Y","V0207","National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","5","-1","0.08","N/A","BW","ELISA*2, WB","6,042"
"25","MX","National","1999-2000","Adults","N","F","60Y69Y","V0207","Only the prevalence rate was given.  National Health Survey.  Nov. 99 - June 00.","P","Mexico","National","Valdespino, J. L., M. L. G. Garcia, C. J. C. Gonzalez, et al.",2007,"Prevalencia de Infección por VIH en la Población Adulta en México: Una Epidemia en Ascenso y Expansión","Salud Publica de Mexico, vol. 49, suppl. 3, S386-S394.","HIV1","-1","-1","0.00","N/A","BW","ELISA*2, WB","N/A"
"16","SF","National","1994","Pregnant women","G","F","40Y44Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","21","-1","5.08","N/A","B","ELISA*2, RAPID","413"
"11","SF","National","2000-2001","Employees","N","B","40Y49Y","E0183","Only the prevalence rate was given.  26 firms.","P","South Africa","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","13.60","N/A","O","ELISA","N/A"
"14","SF","National","1994","Pregnant women","G","F","30Y34Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","142","-1","5.50","N/A","B","ELISA*2, RAPID","2,584"
"12","SF","National","1994","Pregnant women","G","F","20Y24Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","333","-1","6.93","N/A","B","ELISA*2, RAPID","4,799"
"11","SF","National","1994","Pregnant women","G","F","<20Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","150","-1","5.09","N/A","B","ELISA*2, RAPID","2,949"
"9","SF","National","2000-2001","Employees","N","B","20Y29Y","E0183","Only the prevalence rate was given.  26 firms.","P","South Africa","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","15.50","N/A","O","ELISA","N/A"
"113","SF","National","1993","Pregnant women","G","F","45Y49Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","0","-1","0.00","N/A","B","ELISA*2, IFA/WB","67"
"111","SF","National","1993","Pregnant women","G","F","35Y39Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","9","-1","0.89","N/A","B","ELISA*2, IFA/WB","1,013"
"109","SF","National","1993","Pregnant women","G","F","25Y29Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","103","-1","3.11","N/A","B","ELISA*2, IFA/WB","3,313"
"3","SF","National","2003-2004","Pediatric pts.","C","B","01Y04Y","V0177","Lab confirmed H. influenze disease.  Jan. 03 - June 04.","P","South Africa","National","Von Gottberg, A., L. De Gouveia, S. A. Madhi, et al.",2006,"Impact of Conjugate Haemophilus Influenzae Type B (Hib) Vaccine Introduction in South Africa","Bulletin of the World Health Organization, vol. 84, no. 10, pp. 811-818.","HIV","6","-1","85.71","N/A","BW","PCR","7"
"2","SF","National","2003-2004","Pediatric pts.","C","B","<01Y","V0177","Lab confirmed H. influenze disease.  Jan. 03 - June 04.","P","South Africa","National","Von Gottberg, A., L. De Gouveia, S. A. Madhi, et al.",2006,"Impact of Conjugate Haemophilus Influenzae Type B (Hib) Vaccine Introduction in South Africa","Bulletin of the World Health Organization, vol. 84, no. 10, pp. 811-818.","HIV","5","-1","62.50","N/A","BW","PCR","8"
"107","SF","National","1993","Pregnant women","G","F","<20Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","77","-1","2.81","N/A","B","ELISA*2, IFA/WB","2,736"
"19","SF","National","1992","Pregnant women","G","F","45Y49Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & region distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","0","-1","0.00","N/A","B","ELISA, IFA/WB","59"
"18","SF","National","1992","Pregnant women","G","F","40Y44Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","1","-1","0.25","N/A","B","ELISA, IFA/WB","399"
"17","SF","National","1992","Pregnant women","G","F","35Y39Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","13","-1","1.08","N/A","B","ELISA, IFA/WB","1,203"
"16","SF","National","1992","Pregnant women","G","F","30Y34Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","31","-1","1.16","N/A","B","ELISA, IFA/WB","2,678"
"15","SF","National","1992","Pregnant women","G","F","25Y29Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","59","-1","1.46","N/A","B","ELISA, IFA/WB","4,049"
"14","SF","National","1992","Pregnant women","G","F","20Y24Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","144","-1","2.58","N/A","B","ELISA, IFA/WB","5,592"
"110","SF","National","1993","Pregnant women","G","F","30Y34Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","44","-1","1.99","N/A","B","ELISA*2, IFA/WB","2,209"
"8","SF","National","2000-2001","Employees","N","B","<20Y","E0183","Only the prevalence rate was given.  26 firms.","P","South Africa","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","2.30","N/A","O","ELISA","N/A"
"112","SF","National","1993","Pregnant women","G","F","40Y44Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","3","-1","1.09","N/A","B","ELISA*2, IFA/WB","274"
"10","SF","National","2000-2001","Employees","N","B","30Y39Y","E0183","Only the prevalence rate was given.  26 firms.","P","South Africa","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","17.50","N/A","O","ELISA","N/A"
"13","SF","National","1994","Pregnant women","G","F","25Y29Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","262","-1","6.80","N/A","B","ELISA*2, RAPID","3,852"
"13","SF","National","1992","Pregnant women","G","F","<20Y","R0089","Third National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Dec. 92.","P","South Africa","National","RSA Department of National Health and Population Development",1993,"Third National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/November 1992","Epidemiological Comments, vol. 20, no. 3, pp. 35-50.","HIV","53","-1","1.55","N/A","B","ELISA, IFA/WB","3,414"
"7","SF","National","1991","Pregnant women","G","F","45Y49Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","0","-1","0.00","N/A","B","ELISA*2, IFA/WB","45"
"6","SF","National","1991","Pregnant women","G","F","40Y44Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","2","-1","0.74","N/A","B","ELISA*2, IFA/WB","270"
"5","SF","National","1991","Pregnant women","G","F","35Y39Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","3","-1","0.26","N/A","B","ELISA*2, IFA/WB","1,159"
"15","SF","National","1994","Pregnant women","G","F","35Y39Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","29","-1","2.49","N/A","B","ELISA*2, RAPID","1,167"
"12","SF","National","2000-2001","Employees","N","B","50Y+","E0183","Only the prevalence rate was given.  26 firms.","P","South Africa","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","10.30","N/A","O","ELISA","N/A"
"17","SF","National","1994","Pregnant women","G","F","45Y49Y","R0131","Fifth National Survey.  Oct. - Nov. 94.","P","South Africa","National","RSA Department of Health",1995,"Fifth National HIV Survey in Women Attending Antenatal Clinics of the Public Health Services in South Africa, Oct./Nov. 1994","Epidemiological Comments, vol. 22, no. 5, pp. 90-100.","HIV","1","-1","1.82","N/A","B","ELISA*2, RAPID","55"
"4","SF","National","1991","Pregnant women","G","F","30Y34Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","12","-1","0.50","N/A","B","ELISA*2, IFA/WB","2,411"
